100000
2
37002
76165 57853
4328 46423
68238 15003
33252 44056
17102 9881
23811 71742
64506 66180
47472 71121
9169 69758
36474 68772
23828 97992
37922 11385
58907 5213
61256 13055
19409 89057
38266 69564
46061 3252
71977 33833
71548 86060
78315 26268
70159 30217
33544 64628
78363 43197
84614 25384
43859 97556
72990 65193
30687 62269
74853 80303
71848 15007
4648 64476
34674 51678
90066 27191
33883 46024
54675 10832
73675 713
11304 46673
57212 41402
31071 25247
37358 77969
18223 54011
32968 77281
58119 99489
66231 22823
87010 85657
8189 33222
92911 97441
2226 57758
53826 43623
51958 79353
58681 3774
71080 14672
37997 85915
26722 92872
60218 67061
2512 468
2410 12025
98625 80224
89103 55035
5889 17625
74018 47167
77636 94269
71346 78654
53797 49595
39208 12112
84128 89933
93651 30984
30919 66535
36828 4825
77305 18734
72091 52126
22816 73583
13421 65051
70926 92326
77194 4917
87642 74774
40767 31287
83663 53779
44516 70092
73050 20896
78122 53879
97333 70974
50098 23737
16905 59347
2443 67220
73810 85192
29231 67728
78166 82095
67268 11258
37256 859
56434 38392
5382 86827
43632 13507
72900 61156
70389 9390
40186 75219
51837 64279
6816 74678
86929 57366
3925 23196
31008 31077
98357 38757
79264 9009
76166 90999
70410 74943
85173 57450
67714 51105
69513 47324
80699 80750
83606 56957
1505 26734
21353 20104
42234 6114
62599 16675
78744 67637
20283 34312
4788 99016
14682 30929
68801 58066
19631 54337
42981 95557
27030 36148
64495 70399
88087 11680
1957 63794
62834 751
83028 72158
86392 75331
68676 62157
45423 30311
96119 43611
92634 46060
28071 57329
8504 68805
52246 60041
66464 42997
23807 95416
77136 94873
94918 1326
95996 55352
94038 93984
57821 31654
89813 6431
86169 98346
51495 83951
25192 27067
52297 84487
31789 59617
98786 41835
53351 82889
38778 77879
58828 21533
23186 28157
78092 93344
53165 93065
30922 48329
33326 35239
19805 21437
5831 24561
8112 94662
66085 45194
17319 10429
3210 69851
81673 10670
72337 39659
76306 60508
4873 78189
35476 76198
40109 24789
13786 88425
95110 68310
18245 83035
74685 95639
46926 99007
54322 71543
9015 32117
45908 63832
97882 86725
13271 95169
63554 25305
92598 91473
10383 33589
99475 50833
99026 15487
34860 54449
53156 25522
21604 26204
99063 39103
44788 96282
93068 69366
69777 33420
13506 8813
74552 26191
35589 24934
10175 89322
65350 23343
55693 97638
8089 94422
93767 19583
35703 96909
26964 95375
32092 91869
33565 52737
30498 52286
64696 20113
32318 74021
27907 23508
74839 13818
62563 92733
45460 30345
92212 73638
87028 86886
80388 61968
84715 73338
58138 11642
53621 89790
9031 75681
70694 93841
7203 7329
29749 75751
50618 93470
48458 98103
79283 53127
60054 30596
19831 62602
68350 66776
92744 53138
98487 54975
58880 37653
52474 37935
55156 88273
6411 66575
59283 83446
59392 35543
60200 50317
52700 97239
5638 24810
12279 40467
91685 63544
50927 84076
95299 72396
78610 86311
73861 23345
83264 67704
18614 20304
24141 76692
22532 48653
44697 35871
55706 99438
24810 14958
80430 76017
48719 3976
42004 78023
79978 49841
57973 52253
39139 31874
84055 77310
17054 25826
25670 2908
56103 18615
7950 53375
80086 67103
15863 49514
72420 83469
44003 58768
12852 30615
36525 71945
95048 20546
19027 95517
24099 71791
88111 20372
65386 57865
9183 70014
71789 2417
84800 8458
64387 9877
39341 86426
35482 27146
80026 97756
33794 55488
94799 24295
78706 77860
82577 12286
22576 45649
7316 96841
28483 18690
20117 39886
78075 37441
18593 76066
13511 53818
91505 90374
44344 67688
57218 71187
29983 71320
11265 39493
84122 56337
96910 19072
55245 23148
57024 83119
53975 99160
98912 27114
38039 47550
5207 19704
90697 55440
38887 32420
26578 11928
59006 88309
82556 68497
24551 64802
9626 42854
91603 22500
78007 32788
17325 17627
34931 93987
72451 81150
2022 59329
98272 83044
25555 64884
53625 73508
51403 60823
30831 88552
26322 27427
53069 9770
2406 10528
42453 35358
95250 20004
28574 7932
32595 93695
97607 92178
41105 38999
45227 93797
21589 16106
41471 67445
91015 75685
76626 11849
49600 1332
44187 6193
56444 3121
32666 7840
12765 84367
86616 6500
24602 97542
92881 34330
29940 30674
24063 70442
57265 81444
17061 3085
13487 5229
73820 80872
51775 93592
84026 70860
86751 51514
74084 68920
34817 64717
3013 56548
13710 99771
87748 4346
8508 10516
11602 80427
73726 10138
82671 59740
74752 28990
75592 53568
50685 60469
99147 22112
94461 92486
31860 34230
56411 50740
84895 42614
95851 19659
38997 27395
43562 49850
59958 44657
3557 66538
41449 17257
21156 85184
82564 74149
87146 92259
51572 27539
25992 19865
44990 56831
26001 6753
26932 22090
81993 1801
4651 30068
85310 45041
7058 33828
